,contract_player_name,contract_year,contract_value,total_passing_attempts,total_passing_completions,total_passing_yards,average_passing_rating,total_passing_touchdowns,total_passing_interceptions,total_passing_sacks,total_passing_sacks_yards_lost,total_rushing_attempts,total_rushing_yards,total_rushing_touchdowns,total_games_played
80,Kevin Kolb,2011,62108000.0,115,189,1197,66.14285714285714,7,7,15,99,15,65,0,7
81,Kevin Kolb,2010,12222000.0,79,130,885,35.275,4,7,3,27,21,-1,1,12
82,Kevin Kolb,2013,6100000.0,255,436,3124,88.02666666666666,17,11,57,378,33,165,1,15
83,Drew Stanton,2016,6500000.0,143,265,1815,63.68750000000001,7,7,13,74,38,50,0,16
84,Drew Stanton,2011,900000.0,104,187,1158,66.19166666666666,5,9,17,104,30,166,2,12
85,Matt Ryan,2013,103750000.0,1778,2824,20187,92.86385542168675,136,67,124,799,213,518,5,83
86,Joe Flacco,2013,120600000.0,1714,2862,20305,86.59032258064514,121,64,201,1389,243,509,8,93
87,Joe Flacco,2016,66400000.0,1018,1655,11240,85.16136363636365,66,48,84,628,87,232,6,44
88,Chad Henne,2014,8000000.0,471,811,5325,77.54799999999999,24,25,66,412,46,141,1,25
89,Chad Henne,2012,6750000.0,646,1065,7114,70.7138888888889,31,37,67,421,66,196,2,36
90,Chad Henne,2016,8000000.0,42,78,492,76.23333333333333,3,1,16,105,4,25,0,3
91,Chad Henne,2017,3500000.0,0,0,0,0.0,0,0,0,0,1,-2,0,1
92,Josh Johnson,2012,2115000.0,96,177,1042,39.842307692307685,5,10,16,91,37,254,0,26
93,Josh Johnson,2013,1895000.0,0,0,0,0.0,0,0,0,0,0,0,0,1
94,Josh Johnson,2012,700000.0,96,177,1042,39.842307692307685,5,10,16,91,37,254,0,26
95,Josh Johnson,2015,745000.0,0,0,0,0.0,0,0,0,0,7,20,0,2
96,Matt Flynn,2012,19500000.0,82,132,1015,25.865714285714287,9,5,13,62,32,18,1,35
97,Matt Flynn,2013,11500000.0,5,9,68,26.633333333333336,0,0,0,0,4,-5,0,3
98,Matt Flynn,2013,1793750.0,5,9,68,26.633333333333336,0,0,0,0,4,-5,0,3
99,Matt Flynn,2015,870000.0,132,216,1458,71.62857142857143,8,6,26,147,30,55,0,14
100,Matthew Stafford,2017,135000000.0,1566,2496,18024,90.38181818181819,108,55,155,928,165,552,7,66
101,Matthew Stafford,2013,53000000.0,1142,1906,13187,83.87391304347825,83,56,93,674,83,324,8,46
102,Mark Sanchez,2012,40475000.0,877,1571,10364,77.03962264150944,64,54,96,635,114,323,12,53
103,Mark Sanchez,2015,9000000.0,198,309,2418,87.27777777777777,14,11,23,151,34,87,1,9
104,Mark Sanchez,2014,2250000.0,246,453,2883,69.96666666666667,13,18,34,209,22,28,0,15
105,Mark Sanchez,2016,2000000.0,59,91,616,49.26,4,4,9,54,6,22,0,5
106,Mark Sanchez,2017,2000000.0,10,18,93,63.75,0,2,3,25,4,-2,0,2
107,Tim Tebow,2012,6054375.0,186,400,2835,60.368,19,9,44,279,180,950,13,25
108,Tim Tebow,2013,1385000.0,6,8,39,38.375,0,0,2,7,32,102,0,12
109,Colt McCoy,2016,9000000.0,7,11,128,133.9,1,0,1,13,3,-3,0,1
110,Colt McCoy,2015,1500000.0,91,128,1057,94.63999999999999,4,3,17,117,16,66,1,5
111,Colt McCoy,2014,795000.0,410,703,4401,64.66785714285714,21,20,59,330,99,357,1,28
112,Cam Newton,2015,103800000.0,1201,2016,15137,87.88000000000001,87,59,160,1191,495,2697,33,65
113,Blaine Gabbert,2015,4000000.0,417,784,4395,71.83793103448275,23,24,74,518,76,191,0,29
114,Blaine Gabbert,2017,855000.0,269,442,2956,78.59285714285714,15,13,36,212,72,358,3,14
115,Christian Ponder,2015,2250000.0,632,1057,6658,72.26315789473685,38,36,95,501,126,639,7,38
116,Christian Ponder,2015,745000.0,632,1057,6658,72.26315789473685,38,36,95,501,126,639,7,38
117,Andy Dalton,2014,96000000.0,1062,1753,12078,85.23725490196077,81,55,108,621,157,513,7,51
118,Colin Kaepernick,2014,114000000.0,476,801,6420,83.45789473684212,38,16,66,401,208,1444,13,38
119,Colin Kaepernick,2016,31200000.0,433,722,4984,82.16000000000003,25,15,80,510,149,895,2,25
120,Ryan Mallett,2015,7000000.0,42,79,417,28.285714285714285,2,3,1,5,14,-11,0,7
121,Ryan Mallett,2017,2000000.0,139,250,1362,55.150000000000006,5,7,6,32,10,9,1,12
122,Ryan Mallett,2015,2245000.0,42,79,417,28.285714285714285,2,3,1,5,14,-11,0,7
123,T.J. Yates,2016,760000.0,160,282,1877,61.05500000000001,7,11,25,121,25,53,1,20
124,Tyrod Taylor,2016,90000000.0,242,380,3035,102.22857142857141,20,6,36,212,104,568,4,14
125,Tyrod Taylor,2017,30500000.0,269,436,3023,90.41333333333334,17,6,42,192,95,580,6,15
126,Tyrod Taylor,2015,3350000.0,19,35,199,25.528571428571432,0,2,5,33,27,136,1,14
127,Greg McElroy,2013,102000.0,19,31,214,92.0,1,1,11,71,8,30,0,2
128,Robert Griffin III,2016,15000000.0,689,1082,8181,91.2184210526316,42,24,103,734,249,1501,8,38
129,Ryan Tannehill,2015,77000000.0,1029,1662,11252,83.83333333333334,63,42,139,970,145,760,4,48
130,Brandon Weeden,2016,4000000.0,121,181,1346,98.3090909090909,8,4,11,86,22,46,1,11
131,Brandon Weeden,2014,1230000.0,438,784,5116,72.67391304347827,23,26,55,366,39,155,0,23
132,Brock Osweiler,2016,72000000.0,187,305,2126,54.23636363636364,11,6,25,159,40,50,1,22
133,Brock Osweiler,2017,775000.0,338,575,3322,70.8529411764706,17,19,30,223,37,164,3,17
134,Russell Wilson,2015,87600000.0,917,1454,11770,98.72678571428571,84,32,143,845,351,2132,13,56
135,Nick Foles,2015,25000000.0,573,926,6948,95.87241379310348,48,17,59,397,85,334,4,29
136,Nick Foles,2017,11000000.0,36,55,410,73.83333333333333,3,0,4,34,4,-4,0,3
137,Nick Foles,2016,8500000.0,190,337,2052,74.41818181818182,7,10,14,98,17,20,1,11
138,Kirk Cousins,2017,23943600.0,406,606,4917,98.88749999999999,25,12,23,190,34,96,4,16
139,Kirk Cousins,2016,19953000.0,651,1006,7556,91.95312499999999,48,30,48,374,43,106,6,32
140,Ryan Lindley,2015,1335000.0,61,121,644,52.349999999999994,3,6,10,77,0,0,0,4
141,Ryan Lindley,2015,660000.0,61,121,644,52.349999999999994,3,6,10,77,0,0,0,4
142,Ryan Lindley,2014,570000.0,89,171,752,42.11428571428571,0,7,12,91,4,7,0,7
143,Ryan Lindley,2014,107100.0,89,171,752,42.11428571428571,0,7,12,91,4,7,0,7
144,EJ Manuel,2017,800000.0,319,547,3502,56.251724137931035,19,15,43,268,94,324,4,29
145,Geno Smith,2017,1200000.0,501,866,5962,70.09393939393941,28,36,77,528,135,647,7,33
146,Mike Glennon,2017,45000000.0,374,630,4100,83.45714285714287,30,15,56,405,37,86,0,21
147,Matt Barkley,2017,4000000.0,129,216,1611,69.21428571428571,8,14,6,43,7,2,0,7
148,Matt Barkley,2017,775000.0,129,216,1611,69.21428571428571,8,14,6,43,7,2,0,7
149,Matt Barkley,2016,675000.0,30,50,300,54.1,0,4,3,24,5,-2,0,4
150,Matt Barkley,2016,244800.0,30,50,300,54.1,0,4,3,24,5,-2,0,4
151,Ryan Nassib,2017,855000.0,9,10,128,55.0,1,0,2,11,2,-3,0,5
152,Ryan Nassib,2017,775000.0,9,10,128,55.0,1,0,2,11,2,-3,0,5
153,Landry Jones,2017,4400000.0,87,146,1082,41.082352941176474,7,7,7,62,11,-9,0,17
154,B.J. Daniels,2016,1290000.0,1,2,7,7.2875,0,0,0,0,6,6,0,8
155,B.J. Daniels,2016,600000.0,1,2,7,7.2875,0,0,0,0,6,6,0,8
156,B.J. Daniels,2016,117300.0,1,2,7,7.2875,0,0,0,0,6,6,0,8
157,Sean Renfree,2017,635000.0,3,7,11,5.35,0,1,2,17,1,-4,0,2
158,Derek Carr,2017,125025000.0,1055,1732,11194,88.32553191489365,81,31,71,458,101,300,0,47
159,Logan Thomas,2015,1235000.0,1,9,81,49.5,1,0,2,11,0,0,0,3
160,Logan Thomas,2015,170000.0,1,9,81,49.5,1,0,2,11,0,0,0,3
161,David Fales,2017,690000.0,2,5,22,53.7,0,0,1,5,1,0,0,1
