contract_player_name,contract_year,contract_value,total_passing_attempts,total_passing_completions,total_passing_yards,total_passing_rating,total_passing_touchdowns,total_passing_interceptions,total_passing_sacks,total_passing_sacks_yards_lost,total_rushing_attempts,total_rushing_yards,total_rushing_touchdowns,total_games
Joe Flacco,2013,120600000.0,1714,2862,20305,8052.899999999998,121,64,201,1389,243,509,8,93
Joe Flacco,2016,66400000.0,1018,1655,11240,3747.1000000000004,66,48,84,628,87,232,6,44
Joe Flacco,2008,23800000.0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Flacco,2021,3500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Flacco,2022,3500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Flacco,2020,1500000.0,665,1023,6192,2167.7,29,26,56,405,37,112,2,27
Chad Henne,2014,8000000.0,471,811,5325,1938.6999999999998,24,25,66,412,46,141,1,25
Chad Henne,2012,6750000.0,646,1065,7114,2545.7000000000007,31,37,67,421,66,196,2,36
Chad Henne,2016,8000000.0,42,78,492,228.7,3,1,16,105,4,25,0,3
Chad Henne,2017,3500000.0,0,0,0,0,0,0,0,0,1,-2,0,1
Chad Henne,2018,6700000.0,0,2,0,39.6,0,0,0,0,3,-3,0,1
Chad Henne,2022,2000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Chad Henne,2020,3250000.0,0,0,0,0,0,0,0,0,0,0,0,0
Chad Henne,2008,3430100.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2012,2115000.0,96,177,1042,1035.8999999999999,5,10,16,91,37,254,0,26
Josh Johnson,2013,1895000.0,0,0,0,0,0,0,0,0,0,0,0,1
Josh Johnson,2021,1075000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2021,1075000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2021,1075000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2023,1317500.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2022,1220000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2017,1950000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2012,700000.0,96,177,1042,1035.8999999999999,5,10,16,91,37,254,0,26
Josh Johnson,2016,885000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2018,1005000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2019,1030000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2017,1815000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2017,900000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2022,1120000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2015,745000.0,0,0,0,0,0,0,0,0,7,20,0,2
Josh Johnson,2018,915000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2008,1877500.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2021,343444.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2021,297722.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2022,334222.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2022,288000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2021,252000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Johnson,2020,204000.0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Flynn,2012,19500000.0,82,132,1015,905.3000000000001,9,5,13,62,32,18,1,35
Matt Flynn,2013,11500000.0,5,9,68,79.9,0,0,0,0,4,-5,0,3
Matt Flynn,2013,1793750.0,5,9,68,79.9,0,0,0,0,4,-5,0,3
Matt Flynn,2015,870000.0,132,216,1458,1002.8000000000001,8,6,26,147,30,55,0,14
Matt Flynn,2008,1769175.0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Stafford,2022,160000000.0,247,395,3010,1106.8999999999999,21,6,36,198,22,88,0,11
Matthew Stafford,2017,135000000.0,1566,2496,18024,5965.200000000001,108,55,155,928,165,552,7,66
Matthew Stafford,2013,53000000.0,1142,1906,13187,3858.2,83,56,93,674,83,324,8,46
Matthew Stafford,2009,72000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Sanchez,2012,40475000.0,877,1571,10364,4083.1,64,54,96,635,114,323,12,53
Mark Sanchez,2009,47500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Sanchez,2015,9000000.0,198,309,2418,785.5,14,11,23,151,34,87,1,9
Mark Sanchez,2014,2250000.0,246,453,2883,1049.5,13,18,34,209,22,28,0,15
Mark Sanchez,2016,2000000.0,59,91,616,246.29999999999998,4,4,9,54,6,22,0,5
Mark Sanchez,2017,2000000.0,10,18,93,127.5,0,2,3,25,4,-2,0,2
Mark Sanchez,2018,915000.0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Tebow,2010,11250000.0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Tebow,2012,6054375.0,186,400,2835,1509.2,19,9,44,279,180,950,13,25
Tim Tebow,2013,1385000.0,6,8,39,460.5,0,0,2,7,32,102,0,12
Tim Tebow,2015,660000.0,0,0,0,0,0,0,0,0,0,0,0,0
Colt McCoy,2016,9000000.0,7,11,128,133.9,1,0,1,13,3,-3,0,1
Colt McCoy,2018,6500000.0,0,0,0,0,0,0,0,0,0,0,0,1
Colt McCoy,2022,7500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Colt McCoy,2020,2250000.0,0,0,0,0,0,0,0,0,0,0,0,0
Colt McCoy,2015,1500000.0,91,128,1057,473.19999999999993,4,3,17,117,16,66,1,5
Colt McCoy,2021,1212500.0,0,0,0,0,0,0,0,0,0,0,0,0
Colt McCoy,2014,795000.0,410,703,4401,1810.7,21,20,59,330,99,357,1,28
Colt McCoy,2010,2541000.0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Newton,2015,103800000.0,1201,2016,15137,5712.200000000001,87,59,160,1191,495,2697,33,65
Cam Newton,2011,22025498.0,0,0,0,0,0,0,0,0,0,0,0,0
